100 10
0 1 90.56591
0 2 125.48418
0 3 135.06798
0 4 117.08275
0 5 89.06495
0 6 127.35744
0 7 123.28299
0 8 159.56718
0 9 117.82314
0 10 124.27834
0 11 113.08781
0 12 143.80533
0 13 101.30225
0 14 93.90546
0 15 112.26009
0 16 122.55279
0 17 166.59567
0 18 116.13622
0 19 115.56774
0 20 97.47700
0 21 120.45092
0 22 153.50520
0 23 132.33336
0 24 129.39612
0 25 116.51231
0 26 167.53362
0 27 168.04457
0 28 134.71207
0 29 107.60532
0 30 103.28259
0 31 170.51437
0 32 143.85165
0 33 107.40657
0 34 126.53441
0 35 134.62770
0 36 122.85779
0 37 137.53221
0 38 145.70781
0 39 125.98707
0 40 141.68958
0 41 108.97712
0 42 133.94354
0 43 136.57431
0 44 132.19545
0 45 112.75366
0 46 118.92521
0 47 136.68686
0 48 131.34778
0 49 137.03577
0 50 142.42961
0 51 171.34531
0 52 182.31691
0 53 145.70180
0 54 137.72325
0 55 120.37294
0 56 98.82158
0 57 93.98931
0 58 158.59357
0 59 125.41097
0 60 105.10875
0 61 169.36491
0 62 122.25135
0 63 128.74254
0 64 157.41075
0 65 146.78119
0 66 126.35806
0 67 127.05028
0 68 130.71693
0 69 166.91870
0 70 124.64952
0 71 89.31908
0 72 142.75589
0 73 93.05193
0 74 119.80627
0 75 114.33938
0 76 120.41775
0 77 117.70877
0 78 143.82431
0 79 108.92266
0 80 130.82439
0 81 87.93717
0 82 179.07890
0 83 122.56097
0 84 119.10165
0 85 147.33351
0 86 130.59135
0 87 150.91574
0 88 170.58890
0 89 151.64479
0 90 132.77028
0 91 116.80626
0 92 106.82136
0 93 168.13289
0 94 96.27338
0 95 146.86951
0 96 125.61739
0 97 139.35544
0 98 167.32260
0 99 153.23903
1 2 152.23721
1 3 176.52751
1 4 135.55550
1 5 129.10515
1 6 128.39740
1 7 119.84563
1 8 162.04073
1 9 116.46036
1 10 127.84270
1 11 88.92599
1 12 136.55594
1 13 107.86815
1 14 113.83286
1 15 128.45378
1 16 139.09752
1 17 164.64841
1 18 121.80415
1 19 113.07142
1 20 101.15688
1 21 95.20245
1 22 146.53688
1 23 141.75214
1 24 121.43008
1 25 109.84328
1 26 130.51460
1 27 172.14311
1 28 140.05713
1 29 91.76837
1 30 122.39835
1 31 151.45744
1 32 108.22311
1 33 129.56532
1 34 154.33098
1 35 109.40704
1 36 133.96596
1 37 140.07716
1 38 102.97768
1 39 106.07366
1 40 155.49275
1 41 104.70358
1 42 137.30714
1 43 139.14447
1 44 162.77170
1 45 108.36156
1 46 110.44018
1 47 127.75684
1 48 118.72115
1 49 145.71353
1 50 124.43848
1 51 174.46477
1 52 169.56709
1 53 172.28964
1 54 157.68132
1 55 124.89498
1 56 123.11752
1 57 118.90192
1 58 167.08221
1 59 144.03041
1 60 101.84241
1 61 164.48254
1 62 121.60011
1 63 128.58598
1 64 105.35752
1 65 134.20004
1 66 108.64556
1 67 84.36520
1 68 116.46994
1 69 153.96626
1 70 127.01147
1 71 128.72090
1 72 133.66725
1 73 80.95045
1 74 111.45371
1 75 123.18844
1 76 134.01759
1 77 154.41093
1 78 112.92814
1 79 103.71804
1 80 147.55238
1 81 92.80891
1 82 184.13101
1 83 100.30019
1 84 137.84988
1 85 119.52061
1 86 102.20957
1 87 159.50330
1 88 167.81126
1 89 166.89059
1 90 142.57510
1 91 114.44067
1 92 141.32249
1 93 149.10657
1 94 110.01386
1 95 144.31271
1 96 127.59214
1 97 124.97103
1 98 155.31941
1 99 128.83812
2 3 131.01497
2 4 106.14588
2 5 145.96373
2 6 101.33043
2 7 121.96093
2 8 147.69194
2 9 109.78568
2 10 101.87875
2 11 142.42172
2 12 109.11551
2 13 149.30347
2 14 113.51781
2 15 134.67874
