100 30
0 1 178.84938
0 2 169.63881
0 3 180.49565
0 4 221.47408
0 5 222.63846
0 6 132.85742
0 7 187.37929
0 8 205.84874
0 9 153.20340
0 10 177.95465
0 11 138.74001
0 12 225.42015
0 13 153.88217
0 14 180.62538
0 15 218.81001
0 16 177.31863
0 17 200.39598
0 18 198.65634
0 19 235.89566
0 20 171.73366
0 21 191.79784
0 22 177.56741
0 23 164.51480
0 24 167.84135
0 25 151.42183
0 26 158.88446
0 27 183.73303
0 28 167.94315
0 29 204.47713
0 30 167.38594
0 31 172.01068
0 32 168.02379
0 33 206.28520
0 34 134.98854
0 35 165.76050
0 36 182.80325
0 37 203.35770
0 38 201.16173
0 39 152.95477
0 40 179.06116
0 41 201.35097
0 42 220.11783
0 43 185.10440
0 44 144.18713
0 45 148.13553
0 46 194.49448
0 47 207.59152
0 48 169.50876
0 49 146.30949
0 50 164.27919
0 51 161.40706
0 52 142.63629
0 53 210.86836
0 54 140.89343
0 55 165.99139
0 56 173.27892
0 57 182.42557
0 58 202.29245
0 59 178.54860
0 60 159.39554
0 61 217.71086
0 62 134.76976
0 63 179.30550
0 64 181.15047
0 65 171.73811
0 66 212.94547
0 67 206.37865
0 68 194.31923
0 69 143.72487
0 70 169.76971
0 71 189.46513
0 72 189.07860
0 73 168.92885
0 74 201.29291
0 75 166.93018
0 76 174.00687
0 77 158.23370
0 78 179.43254
0 79 188.92662
0 80 181.74875
0 81 181.87448
0 82 181.97122
0 83 207.32343
0 84 199.03644
0 85 178.20340
0 86 172.01088
0 87 215.20337
0 88 167.95590
0 89 192.60466
0 90 133.22641
0 91 177.02203
0 92 175.65135
0 93 215.19376
0 94 164.04012
0 95 175.39128
0 96 216.86664
0 97 151.19292
0 98 174.64824
0 99 152.14531
1 2 187.47252
1 3 184.39003
1 4 202.05165
1 5 228.07086
1 6 214.94479
1 7 231.78629
1 8 197.01653
1 9 154.66028
1 10 192.51779
1 11 151.09175
1 12 190.09882
1 13 173.20119
1 14 217.96867
1 15 166.54045
1 16 206.91922
1 17 246.39882
1 18 195.45401
1 19 202.89125
1 20 181.64709
1 21 110.56658
1 22 151.78943
1 23 194.33914
1 24 193.42717
1 25 226.01299
1 26 189.08124
1 27 165.63474
1 28 152.54482
1 29 201.05708
1 30 177.41423
1 31 208.23643
1 32 175.88239
1 33 185.38060
1 34 149.93118
1 35 159.86789
1 36 195.95944
1 37 196.94136
1 38 185.30844
1 39 185.95232
1 40 193.46201
1 41 220.66507
1 42 195.41917
1 43 180.43289
1 44 182.65137
1 45 179.22044
1 46 185.73265
1 47 227.98331
1 48 205.54732
1 49 187.04771
1 50 171.69647
1 51 175.52782
1 52 169.58676
1 53 216.77820
1 54 170.20949
1 55 182.94890
1 56 188.59447
1 57 168.81943
1 58 200.01259
1 59 131.84067
1 60 207.86200
1 61 189.75320
1 62 170.80688
1 63 219.08710
1 64 174.52815
1 65 186.49515
1 66 207.86758
1 67 192.25203
1 68 200.20207
1 69 153.86629
1 70 204.08743
1 71 188.33466
1 72 153.89911
1 73 201.27681
1 74 221.91878
1 75 195.32170
1 76 212.47638
1 77 201.47501
1 78 196.71255
1 79 155.13631
1 80 165.03336
1 81 206.64828
1 82 186.96091
1 83 173.12642
1 84 180.85841
1 85 184.30978
1 86 192.96838
1 87 178.31946
1 88 208.97658
1 89 165.30353
1 90 161.12167
1 91 229.40285
1 92 186.12720
1 93 207.93591
1 94 202.58923
1 95 221.75957
1 96 202.27525
1 97 180.99771
1 98 163.75548
1 99 141.53445
2 3 164.72572
2 4 236.42746
2 5 223.56198
2 6 162.56010
2 7 178.89598
2 8 202.00700
2 9 183.98164
2 10 180.36285
2 11 197.45593
2 12 204.51872
2 13 156.44547
2 14 180.43187
2 15 180.67699
2 16 179.85135
2 17 199.74840
2 18 182.11630
2 19 211.82962
2 20 142.34294
2 21 160.36494
2 22 161.44025
2 23 198.18944
2 24 190.45520
2 25 231.14160
2 26 195.36586
2 27 196.30365
2 28 210.97145
2 29 147.94943
2 30 193.57323
2 31 183.90765
2 32 184.79115
2 33 211.43576
2 34 182.90865
2 35 150.59509
2 36 145.38504
2 37 209.91704
2 38 186.76611
2 39 173.88519
2 40 196.17108
2 41 189.19542
2 42 192.53807
2 43 165.79021
2 44 176.13815
2 45 198.16455
2 46 194.81551
2 47 257.68231
2 48 208.25082
2 49 195.16434
2 50 173.03494
2 51 196.79375
2 52 159.96657
2 53 209.46982
2 54 163.88205
2 55 180.52908
2 56 175.70113
2 57 186.06935
2 58 174.08020
2 59 189.58018
2 60 196.21301
2 61 167.15533
2 62 160.03561
2 63 172.75392
2 64 191.54138
2 65 143.40433
2 66 201.09422
2 67 207.88524
2 68 208.83450
2 69 192.56288
2 70 220.36171
2 71 223.03401
2 72 187.23215
2 73 158.92661
2 74 193.10732
2 75 206.36517
2 76 249.05635
2 77 104.30360
2 78 160.62721
2 79 179.87599
2 80 199.30263
2 81 174.84097
2 82 211.31425
2 83 158.34541
2 84 208.05934
2 85 187.41615
2 86 191.99908
2 87 121.87498
2 88 137.56619
2 89 147.99152
2 90 176.19066
2 91 185.76442
2 92 177.63655
2 93 195.02383
2 94 160.31398
2 95 168.84787
2 96 178.65906
2 97 196.36722
2 98 156.32744
2 99 181.31482
3 4 190.09229
3 5 205.25768
3 6 168.17082
3 7 188.39091
3 8 162.73010
3 9 174.72324
3 10 174.28683
3 11 176.82846
3 12 171.67963
3 13 158.73564
3 14 142.37447
3 15 146.31438
3 16 159.95033
3 17 177.57283
3 18 192.05614
3 19 207.33319
3 20 147.52283
3 21 162.53885
3 22 154.88257
3 23 174.65486
3 24 189.00838
3 25 203.97400
3 26 175.98479
3 27 199.16856
3 28 203.62103
3 29 159.71619
3 30 123.67691
3 31 171.59314
3 32 185.63167
3 33 173.89542
3 34 194.80264
3 35 127.39610
3 36 174.72398
3 37 168.27588
3 38 182.30376
3 39 201.92072
3 40 225.69270
3 41 173.13373
3 42 179.69189
3 43 164.71573
3 44 170.60535
3 45 190.30133
3 46 175.17857
3 47 185.42896
3 48 182.31024
3 49 190.46179
3 50 169.92197
3 51 136.94792
3 52 171.21524
3 53 184.68384
3 54 179.78831
3 55 164.23024
3 56 161.32434
3 57 180.54100
3 58 156.27301
3 59 164.63054
3 60 171.82964
3 61 174.37650
3 62 157.38255
3 63 138.53374
3 64 193.60146
3 65 197.30856
3 66 206.20615
3 67 167.83496
3 68 183.34998
3 69 162.91464
3 70 211.13396
3 71 193.91914
3 72 167.63696
3 73 167.35559
3 74 182.77025
3 75 208.18805
3 76 199.43590
3 77 163.95270
3 78 152.08272
3 79 166.49266
3 80 187.28851
3 81 189.82373
3 82 213.02333
3 83 189.37492
3 84 179.91165
3 85 185.95020
3 86 173.55882
3 87 160.14911
3 88 179.34314
3 89 173.56497
3 90 201.17409
3 91 178.44968
3 92 201.71390
3 93 182.55266
3 94 169.79758
3 95 145.06107
3 96 184.41838
3 97 179.97090
3 98 175.11957
3 99 185.42714
4 5 194.22598
4 6 210.29153
4 7 231.70819
4 8 188.88788
4 9 219.59247
4 10 198.10660
4 11 198.22688
4 12 167.19328
4 13 233.73598
4 14 194.11720
4 15 208.75069
4 16 260.82031
4 17 212.64774
4 18 253.31433
4 19 231.22606
4 20 202.23517
4 21 193.06932
4 22 208.11575
4 23 218.80969
4 24 225.83362
4 25 245.41661
4 26 144.53171
4 27 237.25525
4 28 225.26570
4 29 214.01036
4 30 211.26924
4 31 214.20743
4 32 204.67697
4 33 223.31741
4 34 183.70166
4 35 144.46263
4 36 217.31282
4 37 181.81242
4 38 191.85756
4 39 191.55714
4 40 261.12073
4 41 235.05322
4 42 196.17772
4 43 204.51424
4 44 175.20097
4 45 218.78300
4 46 239.08792
4 47 216.64568
4 48 202.63292
4 49 252.94560
4 50 210.96582
4 51 212.95424
4 52 217.56572
4 53 185.51625
4 54 194.22536
4 55 208.78967
